"","Element_ID","ElementName","Baltimore Washington Medical Center Department of Emergency Medicine","Beloit Memorial Hospital","Bon Secours Hospital","Bronson Battle Creek","Bronson LakeView Hospital","Bronson Methodist Hospital","CHI Baylor St. Luke's CEC Holcombe","CHI Baylor-St. Luke's CEC Pearland","CHI Baylor-St. Luke's CEC San Felipe","CHI Baylor-St. Luke's Medical Center, Texas Medical Center campus ","CHI St. Luke's Lakeside Hospital","CHI St. Luke's Springwoods Village Hospital","CHI St. Luke's Sugarland Hospital","CHI St. Luke's Vintage Hospital","CHI St. Luke's Woodlands Hospital","Cape Canaveral Hospital","Carolina East Medical Center (CRAV)","Carolinas HealthCare System Harrisburg (HARG)","Carolinas HealthCare System Kannapolis (KANN)","Carolinas HealthCare System Lincoln (LINC)","Carolinas HealthCare System NorthEast (NORT)","Carolinas HealthCare System Pineville (PINE)","Carolinas HealthCare System SouthPark (MORR)","Carolinas HealthCare System Steele Creek (STEE)","Carolinas HealthCare System University (UNIV)","Carolinas Medical Center - Huntersville (HUNT)","Carolinas Medical Center - Mercy (MERC)","Carson Valley Medical Center","Carteret Health Care (CART)","Centinela Hospital Medical Center","CentraCare Health St. Cloud Hospital","Coast Plaza Hospital","College Medical Center","Doctors Hospital at Renaissance","East Los Angeles Doctors Hospital","Emerson Hospital","Fairview Ridges Hospital","Fairview Southdale Hospital","Flagstaff Medical Center","Florida Hospital Carrollwood (CARO)","Florida Hospital Heartland Medical Center (HART)","Florida Hospital Lake Placid (PLAC)","Florida Hospital North Pinellas (NPIN)","Florida Hospital Tampa (TAMP)","Florida Hospital Wauchula (WAUC)","Florida Hospital Wesley Chapel (WECH)","Florida Hospital Zephyrhills (FLOZ)","Gila Regional Medical Center","Goleta Valley Cottage Hospital","Health Partners Methodist Hospital","Hollywood Presbyterian Medical Center","Holmes Regional Medical Center","Holy Family Hospital","Indian River Medical Center","Inspira Health Center Bridgeton SED","Inspira Medical Center Elmer","Inspira Medical Center Vineland ED","Little Company of Mary Hospital (Providence)","Memorial Hospital of Gardena","Mercy Health - Clermont Hospital (MEHE)","Mercy Medical Center","Mission Community Hospital","Mt. San Rafael Hospital","MultiCare Auburn Medical Center","North Mississippi Medical Center","NorthPointe Immediate Care","Norton Women and Childrens Hospital","Olathe Medical Center","Palm Bay Hospital","Palm Harbor Emergency Room (PALM)","Parkview Community Hospital Medical Center","Penn Highlands Brookville","Penn Highlands Clearfield","Penn Highlands Elk","Providence Regional Medical Center","Providence St.Joseph Medical Center","Providence Tarzana Medical Center","Queen Anne's Emergency Center (UMMS)","Queen's Medical Center West","Rhode Island Hospital","Robert Wood Johnson University Hospital","SMRMC","Sacred Heart Medical Center","Sacred Heart Medical Center Pediatrics","Santa Barbara Cottage Hospital","Shasta Regional Medical Center","St. Joseph's/Candler","Swedish Issaquah","Swedish Medical Center Cherry Hill Campus","Swedish Medical Center First Hill Campus","Swedish Mill Creek","Swedish Redmond Campus","Telluride Regional Medical Center ED","The Miriam Hospital","The Queens Medical Center","The Urgency Room - Eagan","The Urgency Room - Vadnais","The Urgency Room - Woodbury","The Valley Hospital","UM Shore Medical Center at Dorchester (UMMS)","UM Shore Medical Center at Easton (UMMS)","UMMC Midtown Campus (UMMS)","University of Maryland Harford Memorial Hospital (UMMS)","University of Maryland Medical Center (UMMS)","University of Maryland Upper Chesapeake Medical Center (UMMS)","Urgent Care at Doctors Hospital at Renaissance","Valley Presbyterian Hospital","Viera Hospital"
"1","2060","Gender",71259,38467,22106,43245,18521,85220,15723,9369,6429,11383,2056,2047,12395,11719,15869,30448,38159,7700,11665,15455,20740,26277,5148,17295,37453,5439,11859,3882,9690,58045,14090,15414,14419,43416,3213,33192,15239,10102,50137,20032,21107,7130,12686,62026,7840,23807,22698,22792,15974,43588,36503,68185,57482,29887,15673,21303,71901,4832,40648,17263,0,17912,11572,41025,78744,7934,53778,29908,42375,4775,0,2887,5924,0,88340,7184,50722,0,71277,84923,8427,61067,66385,27165,39159,11724,32966,29856,17377,34399,43967,9294,1208,58246,94226,5930,6104,6280,68400,0,18730,16170,12042,23675,29627,4908,67833,22265
"2","6100","Diagnosis of minor blunt head trauma (non-penetrating injuries)",2647,936,4,1418,408,2639,491,252,264,320,54,85,485,449,568,1141,1133,302,363,603,984,895,240,695,1163,251,307,187,387,1863,533,562,432,1000,338,1775,649,485,2936,488,707,214,528,2218,270,945,752,684,947,2550,1004,2799,2150,829,429,713,2922,2882,1380,519,469,432,295,1252,2442,101,2415,1323,1330,164,1472,316,443,487,2739,2839,1799,292,2440,2877,2005,1591,2247,1771,1990,675,7476,1636,507,963,2008,510,52,1053,4817,174,197,151,4070,268,562,358,486,669,1688,46,1798,1000
"3","6105","Onset date and timing of diagnosis of minor blunt head trauma",2647,936,4,1418,408,2639,491,252,264,320,54,85,485,449,568,1141,1133,302,363,603,984,895,240,695,1163,251,307,187,387,1863,533,562,432,1000,338,1775,649,485,2936,488,707,214,528,2218,270,945,752,684,947,2550,1004,2799,2150,829,429,713,2922,2882,1380,519,469,432,295,1252,2442,101,2415,1323,1330,164,1472,316,443,487,2739,2839,1799,292,2440,2877,2005,1591,2247,1771,1990,675,7476,1636,507,963,2008,510,52,1053,4817,174,197,151,4070,268,562,358,486,669,1688,46,1798,1000
"4","6110","Documentation of Glasgow Coma Scale (GCS) score",5011,24282,0,0,0,6,0,0,0,0,0,0,0,0,0,5272,4521,0,0,0,0,0,0,0,0,0,0,0,0,10951,2602,435,11150,0,374,3280,3553,6670,0,12544,13299,1052,5835,38530,1759,15290,15087,0,795,8192,0,16768,880,24207,6178,5593,35679,765,1035,0,0,0,6152,7,0,5259,0,2334,10794,43,0,4791,8044,0,2540,228,148,7616,62536,27429,0,469,1224,484,2351,5798,0,164,1587,3661,40,12,0,14010,84165,0,0,0,0,15246,6896,0,0,0,0,0,0,3442
"5","6115","Onset date and timing of documentation of Glasgow Coma Scale (GCS) score",5011,24282,0,0,0,6,0,0,0,0,0,0,0,0,0,5272,4521,0,0,0,0,0,0,0,0,0,0,0,0,10951,2602,435,11458,0,374,3280,3553,6670,0,12544,13299,1052,5835,38530,1759,15290,15087,0,795,8192,0,16768,880,24207,6178,5593,35679,765,1035,0,0,0,6152,7,0,5259,0,2334,10794,43,0,4791,8044,0,2540,228,148,7616,62536,27429,0,469,1224,484,2351,5798,0,164,1587,3661,40,12,0,14010,84165,0,0,0,0,15246,6896,0,0,0,0,0,0,3442
"6","6120","Head CT for trauma ordered",10539,2808,1385,398,55,1222,1779,638,601,2170,247,229,2032,1783,2327,665,3732,500,650,1876,3986,4261,438,1072,2461,388,981,282,1231,1957,0,0,2684,0,0,6776,815,969,0,1962,2852,802,2074,8885,581,3596,2948,0,3795,7513,684,2344,1258,1510,314,90,888,218,0,1598,0,0,2057,8099,0,136,0,372,957,347,0,0,0,0,0,479,0,977,5709,21562,213,24,0,0,12417,652,0,701,821,1485,400,71,50,13242,10660,141,178,127,0,3914,5361,2704,0,5066,0,0,0,367
"7","6125","Onset date and timing of head CT for trauma ordered",10539,2808,1385,398,55,1222,1779,638,601,2170,247,229,2032,1783,2327,665,3732,500,650,1876,3986,4261,438,1072,2461,388,981,282,1231,1957,0,0,2730,0,0,6776,815,969,0,1962,2852,802,2074,8885,581,3596,2948,0,3795,7513,684,2344,1258,1510,314,90,888,218,0,1598,0,0,2057,8099,0,136,0,372,957,347,0,0,0,0,0,479,0,977,5709,21562,213,24,0,0,12417,652,0,701,821,1485,400,71,50,13242,10660,141,178,127,0,3914,5361,2704,0,5066,0,0,0,367
"8","6130","Diagnosis of Ventricular shunt",1,0,0,0,0,11,2,0,0,9,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,2,0,1,0,3,2,0,0,9,0,2,4,0,15,1,3,2,2,12,0,0,1,2,3,3,0,0,1,2,0,0,0,8,0,1,0,0,0,1,0,0,10,2,0,0,1,1,0,1,8,3,0,0,4,98,16,0,8,6,7,0,0,1,4,7,0,0,0,13,18,0,0,0,4,0,0,0,0,3,0,0,0,0
"9","6135","Onset date and timing of diagnosis of Ventricular shunt",1,0,0,0,0,11,2,0,0,9,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,2,0,1,0,3,2,0,0,9,0,2,4,0,15,1,3,2,2,12,0,0,1,2,3,3,0,0,1,2,0,0,0,8,0,1,0,0,0,1,0,0,10,2,0,0,1,1,0,1,8,3,0,0,4,98,16,0,8,6,7,0,0,1,4,7,0,0,0,13,18,0,0,0,4,0,0,0,0,3,0,0,0,0
"10","6140","Diagnosis of Brain Tumor",44,11,4,14,0,42,5,0,0,6,1,2,7,4,8,12,20,4,2,6,13,17,2,3,11,1,1,0,4,25,17,8,3,33,3,11,9,6,28,0,13,4,8,30,1,9,15,8,5,117,2,38,50,17,0,0,0,55,8,4,5,1,3,18,23,0,35,10,13,1,8,3,3,5,99,55,4,0,55,233,70,14,23,2,50,2,3,15,43,30,0,1,0,43,212,1,0,0,95,1,10,3,2,33,19,0,2,13
