"","EDName","High_OL_count","LOW_OL_count"
"1","Baltimore Washington Medical Center Department of Emergency Medicine",2,7
"2","Beloit Memorial Hospital",10,2
"3","Bon Secours Hospital",7,6
"4","Bronson Battle Creek",6,2
"5","Bronson LakeView Hospital",2,4
"6","Bronson Methodist Hospital",10,2
"7","CHI Baylor St. Luke's CEC Holcombe",5,10
"8","CHI Baylor-St. Luke's CEC Pearland",3,12
"9","CHI Baylor-St. Luke's CEC San Felipe",3,8
"10","CHI Baylor-St. Luke's Medical Center, Texas Medical Center campus ",7,4
"11","CHI St. Luke's Lakeside Hospital",8,6
"12","CHI St. Luke's Springwoods Village Hospital",9,6
"13","CHI St. Luke's Sugarland Hospital",7,4
"14","CHI St. Luke's Vintage Hospital",5,0
"15","CHI St. Luke's Woodlands Hospital",9,0
"16","Cape Canaveral Hospital",6,0
"17","Carolina East Medical Center (CRAV)",4,2
"18","Carolinas HealthCare System Harrisburg (HARG)",2,2
"19","Carolinas HealthCare System Kannapolis (KANN)",4,8
"20","Carolinas HealthCare System Lincoln (LINC)",4,0
"21","Carolinas HealthCare System NorthEast (NORT)",6,1
"22","Carolinas HealthCare System Pineville (PINE)",4,0
"23","Carolinas HealthCare System SouthPark (MORR)",4,2
"24","Carolinas HealthCare System Steele Creek (STEE)",6,0
"25","Carolinas HealthCare System University (UNIV)",6,2
"26","Carolinas Medical Center - Huntersville (HUNT)",4,0
"27","Carolinas Medical Center - Mercy (MERC)",4,4
"28","Carson Valley Medical Center",6,2
"29","Carteret Health Care (CART)",4,0
"30","Centinela Hospital Medical Center",10,1
"31","CentraCare Health St. Cloud Hospital",12,0
"32","Coast Plaza Hospital",6,2
"33","College Medical Center",6,2
"34","Doctors Hospital at Renaissance",6,2
"35","East Los Angeles Doctors Hospital",4,3
"36","Emerson Hospital",6,0
"37","Fairview Ridges Hospital",3,0
"38","Fairview Southdale Hospital",3,0
"39","Flagstaff Medical Center",8,3
"40","Florida Hospital Carrollwood (CARO)",4,4
"41","Florida Hospital Heartland Medical Center (HART)",4,0
"42","Florida Hospital Lake Placid (PLAC)",2,0
"43","Florida Hospital North Pinellas (NPIN)",2,0
"44","Florida Hospital Tampa (TAMP)",4,0
"45","Florida Hospital Wauchula (WAUC)",4,2
"46","Florida Hospital Wesley Chapel (WECH)",4,0
"47","Florida Hospital Zephyrhills (FLOZ)",4,3
"48","Gila Regional Medical Center",2,0
"49","Goleta Valley Cottage Hospital",4,2
"50","Health Partners Methodist Hospital",22,0
"51","Hollywood Presbyterian Medical Center",4,13
"52","Holmes Regional Medical Center",6,1
"53","Holy Family Hospital",16,4
"54","Indian River Medical Center",6,8
"55","Inspira Health Center Bridgeton SED",6,4
"56","Inspira Medical Center Elmer",2,4
"57","Inspira Medical Center Vineland ED",8,2
"58","Little Company of Mary Hospital (Providence)",8,3
"59","Memorial Hospital of Gardena",4,9
"60","Mercy Health - Clermont Hospital (MEHE)",2,0
"61","Mercy Medical Center",4,8
"62","Mission Community Hospital",4,12
"63","Mt. San Rafael Hospital",2,2
"64","MultiCare Auburn Medical Center",4,4
"65","North Mississippi Medical Center",2,8
"66","NorthPointe Immediate Care",8,8
"67","Norton Women and Childrens Hospital",6,0
"68","Olathe Medical Center",2,2
"69","Palm Bay Hospital",2,4
"70","Palm Harbor Emergency Room (PALM)",4,6
"71","Parkview Community Hospital Medical Center",2,4
"72","Penn Highlands Brookville",4,7
"73","Penn Highlands Clearfield",4,5
"74","Penn Highlands Elk",2,6
"75","Providence Regional Medical Center",8,0
"76","Providence St.Joseph Medical Center",4,5
"77","Providence Tarzana Medical Center",2,16
"78","Queen Anne's Emergency Center (UMMS)",2,10
"79","Queen's Medical Center West",4,2
"80","Rhode Island Hospital",14,0
"81","Robert Wood Johnson University Hospital",28,0
"82","SMRMC",6,4
"83","Sacred Heart Medical Center",4,1
"84","Sacred Heart Medical Center Pediatrics",6,10
"85","Santa Barbara Cottage Hospital",12,3
"86","Shasta Regional Medical Center",2,5
"87","St. Joseph's/Candler",4,16
"88","Swedish Issaquah",16,0
"89","Swedish Medical Center Cherry Hill Campus",16,0
"90","Swedish Medical Center First Hill Campus",18,0
"91","Swedish Mill Creek",8,10
"92","Swedish Redmond Campus",8,8
"93","Telluride Regional Medical Center ED",4,7
"94","The Miriam Hospital",8,6
"95","The Queens Medical Center",14,2
"96","The Urgency Room - Eagan",2,6
"97","The Urgency Room - Vadnais",2,8
"98","The Urgency Room - Woodbury",2,4
"99","The Valley Hospital",8,2
"100","UM Shore Medical Center at Dorchester (UMMS)",6,10
"101","UM Shore Medical Center at Easton (UMMS)",4,11
"102","UMMC Midtown Campus (UMMS)",2,5
"103","University of Maryland Harford Memorial Hospital (UMMS)",23,5
"104","University of Maryland Medical Center (UMMS)",2,5
"105","University of Maryland Upper Chesapeake Medical Center (UMMS)",20,2
"106","Urgent Care at Doctors Hospital at Renaissance",2,12
"107","Valley Presbyterian Hospital",4,12
"108","Viera Hospital",6,2
