measure,element,min,max,mean,median,sd
X19,19,0.003014609,1,0.21838061373333334,0.15916363900000002,0.2349727391085991
X19,2060,0,1,0.20519440366666666,0.13922470450000002,0.23579101517392945
X19,6100,0,1,0.2703740157,0.14271653550000002,0.2774050680264331
X19,6105,0,1,0.2703740157,0.14271653550000002,0.2774050680264331
X19,6110,0,1,0.11224844643333333,0.0015987425,0.23977588731917915
X19,6115,0,1,0.11224844643333333,0.0015987425,0.23977588731917915
X19,6120,0,1,0.1140883761,0,0.2146003022273621
X19,6125,0,1,0.1140883761,0,0.2146003022273621
X19,6130,0,1,0.053968254,0,0.18505560142772604
X19,6135,0,1,0.053968254,0,0.18505560142772604
X19,6140,0,1,0.0762318841,0.039130435,0.17805683036906422
X19,6145,0,1,0.0762318841,0.039130435,0.17805683036906422
X19,6150,0,1,0.16467026756666667,8.364805000000001e-4,0.281911216079471
X19,6155,0,1,0.16467026756666667,8.364805000000001e-4,0.281911216079471
X19,6160,0.002770083,1,0.2719657330333333,0.1623576485,0.284493351242882
X19,6165,0.002770083,1,0.2719657330333333,0.1623576485,0.284493351242882
X19,6200,0,1,0.10992369233333334,0,0.24197356417526583
X19,6205,0,1,0.10992369233333334,0,0.24197356417526583
X19,6265,0,1,0.059068950366666664,0.0174571805,0.18029654228877998
X19,6270,0,1,0.059068950366666664,0.0174571805,0.18029654228877998
X19,6275,0,1,0.1949044587,0.10191082800000001,0.26146825188725603
X19,6280,0,1,0.1949044587,0.10191082800000001,0.26146825188725603
X19,6285,0,1,0.0805063032,0.008513236,0.20027909831188276
X19,6290,0,1,0.0805063032,0.008513236,0.20027909831188276
X19,6325,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X19,6350,0,1,0.08169741696666666,1.419245e-4,0.23878677011832158
X19,6355,0,1,0.08169741696666666,1.419245e-4,0.23878677011832158
X19,6400,0,1,0.0622881356,0.020416025,0.18014245093904044
X19,6405,0,1,0.0622881356,0.020416025,0.18014245093904044
X19,8500,0,1,0.20735408016666668,0.1170937295,0.2429117366947277
X19,8505,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X19,8506,0,1,0.17678570506666666,0.1449988405,0.21522627685902201
X20,20,0.003014609,1,0.21775295666666666,0.158077607,0.23470134626840944
X20,6100,0,1,0.2703740157,0.14271653550000002,0.2774050680264331
X20,6105,0,1,0.2703740157,0.14271653550000002,0.2774050680264331
X20,6110,0,1,0.11224844643333333,0.0015987425,0.23977588731917915
X20,6115,0,1,0.11224844643333333,0.0015987425,0.23977588731917915
X20,6120,0,1,0.1140883761,0,0.2146003022273621
X20,6125,0,1,0.1140883761,0,0.2146003022273621
X20,6130,0,1,0.053968254,0,0.18505560142772604
X20,6135,0,1,0.053968254,0,0.18505560142772604
