"","TIN","Practice ID","Practice Name","Start Date","End Date","MeasureID","EGP","Numerator","Exclusion","Exception","ED.IDs","ED_name_x"
"1",10635810,437170,"Envision","7/1/2017","9/30/2017","19",12,8,2,0,"437511",NA
"2",10635810,437170,"Envision","7/1/2017","9/30/2017","20",2,1,0,0,"437511",NA
"3",10635810,437170,"Envision","7/1/2017","9/30/2017","24",2,1,1,0,"437511",NA
"4",10635810,437170,"Envision","7/1/2017","9/30/2017","25",8,4,0,0,"437511",NA
"5",20657245,437170,"Envision","7/1/2017","12/31/2017","24",3,2,0,0,"437664",NA
"6",20657245,437170,"Envision","7/1/2017","12/31/2017","25",33,26,0,0,"437664",NA
"7",20657245,437170,"Envision","7/1/2017","12/31/2017","31",4,1,0,0,"437664",NA
"8",30373704,437170,"Envision","7/1/2017","12/31/2017","22",1,1,0,0,"437554",NA
"9",30373704,437170,"Envision","7/1/2017","12/31/2017","24",6,5,0,0,"437554",NA
"10",30373704,437170,"Envision","7/1/2017","12/31/2017","25",77,52,0,0,"437554",NA
"11",43665136,437170,"Envision","7/1/2017","12/31/2017","25",12,10,0,0,"437576",NA
"12",43665136,437170,"Envision","7/1/2017","12/31/2017","31",5,4,0,0,"437576",NA
"13",43685639,98494,"USACS Management Group, LTD.","7/1/2017","10/31/2017","21",581,137,12,0,"353864, 354425",NA
"14",43685639,98494,"USACS Management Group, LTD.","7/1/2017","10/31/2017","24",699,429,21,0,"353864, 354425",NA
"15",61345169,276019,"NES Health","10/1/2017","12/31/2017","24",171,103,12,0,"308622",NA
"16",61638984,437170,"Envision","7/1/2017","12/31/2017","25",15,15,0,0,"437544",NA
"17",113591293,276019,"NES Health","10/1/2017","12/31/2017","21",112,56,1,0,"308620",NA
"18",200443352,437170,"Envision","7/1/2017","12/31/2017","25",50,31,0,0,"437679",NA
"19",200443352,437170,"Envision","7/1/2017","12/31/2017","31",23,8,0,0,"437679",NA
"20",200461781,437170,"Envision","7/1/2017","12/31/2017","20",6,2,0,0,"437450",NA
"21",200461781,437170,"Envision","7/1/2017","12/31/2017","24",3,3,0,0,"437450",NA
"22",200461781,437170,"Envision","7/1/2017","12/31/2017","25",27,21,0,0,"437450",NA
"23",200461781,437170,"Envision","7/1/2017","12/31/2017","31",3,2,0,0,"437450",NA
"24",200463397,437170,"Envision","7/1/2017","12/31/2017","22",4,2,0,0,"437292",NA
"25",200463397,437170,"Envision","7/1/2017","12/31/2017","25",17,17,0,0,"437292",NA
"26",200463462,437170,"Envision","7/1/2017","9/30/2017","25",35,31,0,0,"437471",NA
"27",200463713,437170,"Envision","7/1/2017","9/30/2017","22",4,2,0,0,"437502",NA
"28",200463713,437170,"Envision","7/1/2017","9/30/2017","24",4,3,0,0,"437502",NA
"29",200463713,437170,"Envision","7/1/2017","9/30/2017","25",42,35,0,0,"437502",NA
"30",200463713,437170,"Envision","7/1/2017","9/30/2017","31",29,17,0,0,"437502",NA
"31",200481876,437170,"Envision","7/1/2017","9/30/2017","22",9,1,0,0,"437185, 437275, 437324, 437605",NA
"32",200481876,437170,"Envision","7/1/2017","9/30/2017","24",8,7,0,0,"437185, 437275, 437324, 437605",NA
"33",200481876,437170,"Envision","7/1/2017","9/30/2017","25",57,46,0,0,"437185, 437275, 437324, 437605",NA
"34",200481876,437170,"Envision","7/1/2017","9/30/2017","31",38,13,0,0,"437185, 437275, 437324, 437605",NA
"35",200492277,437170,"Envision","7/1/2017","9/30/2017","20",42,16,0,0,"437601, 437602, 437642, 437669",NA
"36",200492277,437170,"Envision","7/1/2017","9/30/2017","22",20,3,0,0,"437601, 437602, 437642, 437669",NA
"37",200492277,437170,"Envision","7/1/2017","9/30/2017","24",25,17,1,0,"437601, 437602, 437642, 437669",NA
"38",200492277,437170,"Envision","7/1/2017","9/30/2017","25",118,98,0,0,"437601, 437602, 437642, 437669",NA
"39",200492277,437170,"Envision","7/1/2017","9/30/2017","31",46,21,0,0,"437601, 437602, 437642, 437669",NA
"40",200625450,437170,"Envision","7/1/2017","12/31/2017","20",41,19,0,0,"437262, 437366",NA
"41",200625450,437170,"Envision","7/1/2017","12/31/2017","22",31,8,2,0,"437262, 437366",NA
"42",200625450,437170,"Envision","7/1/2017","12/31/2017","24",33,19,3,0,"437262, 437366",NA
"43",200625450,437170,"Envision","7/1/2017","12/31/2017","25",154,126,0,0,"437262, 437366",NA
"44",200625450,437170,"Envision","7/1/2017","12/31/2017","31",42,29,0,0,"437262, 437366",NA
"45",200899178,437170,"Envision","7/1/2017","12/31/2017","19",50,31,10,0,"437291",NA
"46",200899178,437170,"Envision","7/1/2017","12/31/2017","20",6,3,0,0,"437291",NA
"47",200899178,437170,"Envision","7/1/2017","12/31/2017","22",12,5,0,0,"437291",NA
"48",200899178,437170,"Envision","7/1/2017","12/31/2017","24",4,1,0,0,"437291",NA
"49",200899178,437170,"Envision","7/1/2017","12/31/2017","25",66,52,0,0,"437291",NA
"50",200899178,437170,"Envision","7/1/2017","12/31/2017","31",5,5,0,0,"437291",NA
"51",201054671,437170,"Envision","10/1/2017","12/31/2017","22",6,1,0,0,"437379",NA
"52",201054671,437170,"Envision","10/1/2017","12/31/2017","24",1,1,0,0,"437379",NA
"53",201054671,437170,"Envision","10/1/2017","12/31/2017","25",33,24,0,0,"437379",NA
"54",201102029,437170,"Envision","7/1/2017","9/30/2017","19",6,5,0,0,"437437",NA
"55",201102029,437170,"Envision","7/1/2017","9/30/2017","22",3,1,0,0,"437437",NA
"56",201102029,437170,"Envision","7/1/2017","9/30/2017","24",2,2,0,0,"437437",NA
"57",201102029,437170,"Envision","7/1/2017","9/30/2017","25",8,5,0,0,"437437",NA
"58",201692217,437170,"Envision","7/1/2017","9/30/2017","20",3,2,0,0,"437640",NA
"59",201692217,437170,"Envision","7/1/2017","9/30/2017","22",1,1,0,0,"437640",NA
