elementID,X172216,X308621,X104198,X308622,X104203,X198042,X203791,X203338,X346698,X346695,X144267,X128128,X59229,X308631,X94515,X308633,X193768,X70677,X201301,X201301,X346692,X104223,X104225,X104200,X67858,X240014,X193774,X308635,X140851,X203310
X22.2060,0.363152199,0.009484425,0.479276494,0.036917369,0.387825616,0.095756358,0.173958414,0,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107111386,0.027479323,0.794156296,0.248071423,0.200123676,0.161814949,0.003014609,0.350892788,0.213511633,0.290074979,1,0.069034552,0.45647368,0.052678364,0.01961042,0.156512329
X22.6285,0.00462606,0,1,0.000192753,0.104343356,0.008738114,0.01227191,0.112246209,6.43E-05,6.43E-05,0.00462606,0.008224107,0.023901311,6.43E-05,0.026856849,6.43E-05,0.018247237,0.045039836,0.023965562,0.015163197,0.000192753,0.350616808,0.245245438,0.382163968,0.013621177,0.003276793,0.008288358,0.000642508,0.001220766,0.001220766
X22.6290,0.00462606,0,1,0.000192753,0.104343356,0.008738114,0.01227191,0.112246209,6.43E-05,6.43E-05,0.00462606,0.008224107,0.023901311,6.43E-05,0.026856849,6.43E-05,0.018247237,0.045039836,0.023965562,0.015163197,0.000192753,0.350616808,0.245245438,0.382163968,0.013621177,0.003276793,0.008288358,0.000642508,0.001220766,0.001220766
X22.8500,0.372570229,0.009646972,0.484391776,0.03155297,0.386736215,0.097214877,0.17249972,0.407400285,0.014750893,0.056936365,0.07800907,0.123367466,0.187162476,0.003902056,0.110819993,0.026873708,0.802677756,0.247536176,0,0,0.002980626,0.345584347,0.216167492,0.287830713,1,0.06682371,0.460402545,0.047922376,0.019966989,0.158894604
X22.8505,0.363152199,0.009484425,0.47607637,0.036917369,0.383891165,0.095756358,0.173958414,0.395369869,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107235062,0.027479323,0.794156296,0.248133261,0,0,0.003014609,0.347746773,0.210929891,0.288343511,1,0.069034552,0.45648914,0.052678364,0.019625879,0.156512329
X22.8506,0.36045451,0,0.25349772,0,0.225168122,0.094133107,0.171059751,0.395369869,0,0,0.075465718,0.050537219,0.184532736,0,0.107235062,0,0.625600989,0.2265904,0.198059828,0.159642885,0,0.252531499,0.170997913,0.133485352,1,0.069034552,0.374035712,0,0.019625879,0.156512329
X22.6430,0.237592968,0,0.141920216,0,0.143002028,0,0.000811359,0,0,0,0.083637593,0.118187965,0.27254902,0,0.078093306,0,1,0.20520622,0,0,0,0.272481406,0.175118323,0.199459094,0.231372549,0,0.61703854,0,0.001014199,0
X22.6435,0.237592968,0,0.141920216,0,0.143002028,0,0.000811359,0,0,0,0.083637593,0.118187965,0.27254902,0,0.078093306,0,1,0.20520622,0,0,0,0.272481406,0.175118323,0.199459094,0.231372549,0,0.61703854,0,0.001014199,0
X22.6440,0.237592968,0,0.141920216,0,0.143002028,0,0.000811359,0,0,0,0.083637593,0.118187965,0.27254902,0,0.078093306,0,1,0.20520622,0,0,0,0.272481406,0.175118323,0.199459094,0.231372549,0,0.61703854,0,0.001014199,0
X22.7090,0,0,0.841173215,0,0.00166021,0,0,0,0,0,0,0.241837299,0.00166021,0,0.267847261,0,0.293857222,0.319867183,0,0,0,0.026009961,0.003320421,0.481460985,1,0,0.262313226,0,0.034864416,0
