facilityID,X22.2060,X22.6285,X22.6290,X22.8500,X22.8505,X22.8506,X22.6430,X22.6435,X22.6440,X22.7090,X22.7095,X22.6300,X22.6305,X22.6420,X22.6425,X21.6265,X21.6270,X21.6275,X21.6280,X21.6285,X21.6290,X21.6350,X21.6355,X21.8500,X21.8505,X21.8506,X21.6230,X21.6235,X21.6240,X21.6245,X21.6250,X21.6255,X21.6260,X21.6570,X21.6575,X21.7060,X21.7070,X21.7075,X19.2060,X19.6100,X19.6105,X19.6140,X19.6145,X19.6150,X19.6155,X19.6160,X19.6165,X19.6265,X19.6270,X19.6275,X19.6280,X19.6285,X19.6290,X19.6325,X19.6350,X19.6355,X19.6400,X19.6405,X19.8500,X19.8505,X19.8506,X19.6110,X19.6115,X19.6120,X19.6125,X19.6200,X19.6205,X19.6130,X19.6135,X20.6100,X20.6105,X20.6140,X20.6145,X20.6265,X20.6270,X20.6275,X20.6280,X20.6325,X20.8500,X20.8505,X20.8506,X20.6110,X20.6115,X20.6120,X20.6125,X20.6200,X20.6205,X20.6130,X20.6135,X31.8500,X31.8505,X31.8506,X31.6770,X31.6775,X31.6790,X31.6795,X31.6810,X31.6815,X24.2060,X24.8500,X24.8505,X24.8506,X24.4020,X24.4025,X24.4040,X24.8020,X24.8030,X24.8035,X24.9210,X24.9215,X24.4045,X24.8025,X25.8506,X25.6000,X25.6005,X25.6010,X25.6015,X25.6020,X25.6025,X25.6030,X25.6031,X25.6033,X25.6035,X25.6040,X25.6046,X25.6060,X25.7100
X172216,1,0.001532534,0.001532534,0.989740533,1,0.992571465,0.074796194,0.074796194,0.074796194,0,0,0,0,0,0,0.000212852,0.000212852,8.51408E-05,8.51408E-05,0.001532534,0.001532534,0.000659841,0.000659841,0.989740533,1,0.992571465,0.005257444,0.000383134,0.000383134,0.000638556,0.000638556,0.000446989,0.000446989,0.001809242,0.001809242,0.005257444,0.14235542,0.14235542,1,0.001745386,0.001745386,2.12852E-05,2.12852E-05,0.000383134,0.000383134,0.005555437,0.005555437,0.000212852,0.000212852,8.51408E-05,8.51408E-05,0.001532534,0.001532534,1,0.000659841,0.000659841,0.000276708,0.000276708,0.989740533,1,0.992571465,0.957940444,0.957940444,0.114748515,0.114748515,0,0,2.12852E-05,2.12852E-05,0.001745386,0.001745386,2.12852E-05,2.12852E-05,0.000212852,0.000212852,8.51408E-05,8.51408E-05,1,0.989740533,1,0.992571465,0.957940444,0.957940444,0.114748515,0.114748515,0,0,2.12852E-05,2.12852E-05,0.989740533,1,0.992571465,0.02288159,0.02288159,0.02288159,0.02288159,0.022902876,0.000212852,0.602392457,0.596794449,0.602392457,0.599114536,0.121006364,0.121006364,0,0,0.00155382,0.00155382,0.007534961,0.007534961,0,0,0.599114536,0.003916477,0.003916477,0.002256231,0.002256231,0.003575914,0.003575914,0.000553415,0.000553415,0.000255422,0.000255422,0.003575914,0.003575914,0.596815734,0.000255422
X308621,1,0,0,0.981255094,1,0,0,0,0,0,0,0,0,0,0,0.007334963,0.007334963,0.005704971,0.005704971,0,0,0,0,0.981255094,1,0,0.054604727,0.005704971,0.005704971,0.012224939,0.012224939,0.002444988,0.002444988,0.034229829,0.034229829,0.054604727,0,0,1,0.02607987,0.02607987,0,0,0,0,0.079054605,0.079054605,0.007334963,0.007334963,0.005704971,0.005704971,0,0,1,0,0,0.002444988,0.002444988,0.981255094,1,0,0,0,0,0,0,0,0,0,0.02607987,0.02607987,0,0,0.007334963,0.007334963,0.005704971,0.005704971,1,0.981255094,1,0,0,0,0,0,0,0,0,0,0.981255094,1,0,0,0,0,0,0.007334963,0.007334963,0.628361858,0.621026895,0.628361858,0,0,0,0,0,0,0,0.044824776,0.044824776,0,0,0,0.008149959,0.008149959,0.041564792,0.041564792,0,0,0,0,0,0,0,0,0.621026895,0
X104198,1,0.251016063,0.251016063,0.975017741,0.993323011,0.528917489,0.033852655,0.033852655,0.033852655,0.024514547,0.024514547,0,0,0,0,0.000709632,0.000709632,0.0004032,0.0004032,0.251016063,0.251016063,0.011144442,0.011144442,0.975017741,0.993323011,0.528917489,0.048416231,0.000935424,0.000935424,0.009047803,0.009047803,0.001193471,0.001193471,0.025708019,0.025708019,0.048416231,0.17234372,0.17234372,1,0.024208116,0.024208116,0.000112896,0.000112896,0.262483066,0.262483066,0.10479969,0.10479969,0.000709632,0.000709632,0.0004032,0.0004032,0.251016063,0.251016063,0.993323011,0.011144442,0.011144442,0.004225534,0.004225534,0.975017741,0.993323011,0.528917489,0.005822205,0.005822205,0.150538675,0.150538675,0.206599574,0.206599574,6.4512E-05,6.4512E-05,0.024208116,0.024208116,0.000112896,0.000112896,0.000709632,0.000709632,0.0004032,0.0004032,0.993323011,0.975017741,0.993323011,0.528917489,0.005822205,0.005822205,0.150538675,0.150538675,0.206599574,0.206599574,6.4512E-05,6.4512E-05,0.975017741,0.993323011,0.528917489,0,0,0,0,0.001596671,0.001596671,0.49196826,0.485113864,0.491500548,0.334365525,0.092300497,0.092300497,0,0,0.017160183,0.017160183,0.054222308,0.054222308,0,0,0.334365525,0.006338301,0.006338301,0.004628734,0.004628734,0.350041933,0.350041933,3.2256E-05,3.2256E-05,0,0,0.355896394,0.355896394,0.471646991,0
X308622,1,0.000628141,0.000628141,0.824539363,1,0,0,0,0,0,0,0,0,0,0,0.01821608,0.01821608,0.013190955,0.013190955,0.000628141,0.000628141,0,0,0.824539363,1,0,0.074748744,0.003768844,0.003768844,0.032872697,0.032872697,0.013819095,0.013819095,0.051507538,0.051507538,0.074748744,0,0,1,0.029522613,0.029522613,0.001256281,0.001256281,0,0,0.091080402,0.091080402,0.01821608,0.01821608,0.013190955,0.013190955,0.000628141,0.000628141,1,0,0,0.005025126,0.005025126,0.824539363,1,0,0,0,0,0,0,0,0,0,0.029522613,0.029522613,0.001256281,0.001256281,0.01821608,0.01821608,0.013190955,0.013190955,1,0.824539363,1,0,0,0,0,0,0,0,0,0,0.824539363,1,0,0,0,0,0,0.00858459,0.00858459,0.53538526,0.469639866,0.53538526,0,0.00020938,0.00020938,0,0,0.00041876,0.00041876,0.047110553,0.047110553,0,0,0,0.003768844,0.003768844,0.027638191,0.027638191,0,0,0,0,0,0,0,0,0.469639866,0
X104203,1,0.032368007,0.032368007,0.96201144,0.989855101,0.580591155,0.042154147,0.042154147,0.042154147,5.97931E-05,5.97931E-05,0,0,0,0,0.000876966,0.000876966,0.000498276,0.000498276,0.032368007,0.032368007,0.010085106,0.010085106,0.96201144,0.989855101,0.580591155,0.05795946,0.000817173,0.000817173,0.007753174,0.007753174,0.001235724,0.001235724,0.027863592,0.027863592,0.05795946,0.11878899,0.11878899,1,0.020987384,0.020987384,3.98621E-05,3.98621E-05,0.159926654,0.159926654,0.085623742,0.085623742,0.000876966,0.000876966,0.000498276,0.000498276,0.032368007,0.032368007,0.989855101,0.010085106,0.010085106,0.002052897,0.002052897,0.96201144,0.989855101,0.580591155,0.653738066,0.653738066,0.15466486,0.15466486,0.359575867,0.359575867,0,0,0.020987384,0.020987384,3.98621E-05,3.98621E-05,0.000876966,0.000876966,0.000498276,0.000498276,0.989855101,0.96201144,0.989855101,0.580591155,0.653738066,0.653738066,0.15466486,0.15466486,0.359575867,0.359575867,0,0,0.96201144,0.989855101,0.580591155,0,0,0,0,0.002591035,0.002591035,0.437845056,0.428915951,0.436210711,0.349729934,0.005799932,0.005799932,0,0,0.010842485,0.010842485,0.044286768,0.044286768,5.97931E-05,5.97931E-05,0.349729934,0.008869312,0.008869312,0.005261794,0.005261794,0.107169195,0.107169195,0,0,0,0,0.108026229,0.108026229,0.426623881,0
X198042,1,0.010978366,0.010978366,0.979415563,1,0.983048111,0,0,0,0,0,0,0,0,0,0.002744592,0.002744592,0.002018082,0.002018082,0.010978366,0.010978366,0,0,0.979415563,1,0.983048111,0.094284792,0.00468195,0.00468195,0.011139813,0.011139813,0.000161447,0.000161447,0.043832741,0.043832741,0.094284792,0,0,1,0.026235066,0.026235066,0.00024217,0.00024217,0,0,0.096302874,0.096302874,0.002744592,0.002744592,0.002018082,0.002018082,0.010978366,0.010978366,1,0,0,0.012673555,0.012673555,0.979415563,1,0.983048111,0,0,0,0,0,0,0,0,0.026235066,0.026235066,0.00024217,0.00024217,0.002744592,0.002744592,0.002018082,0.002018082,1,0.979415563,1,0.983048111,0,0,0,0,0,0,0,0,0.979415563,1,0.983048111,0,0,0,0,0.001533742,0.001533742,0.730142073,0.716661285,0.730142073,0.721908298,0.001130126,0.001130126,0,0,0.009363901,0.009363901,0.064013562,0.064013562,0.000322893,0.000322893,0.721908298,0.009363901,0.009363901,0.015337423,0.015337423,0,0,8.07233E-05,8.07233E-05,0,0,0,0,0.716661285,0
X198042,1,0.008487003,0.008487003,0.95663186,1,0.983337036,0.000533215,0.000533215,0.000533215,0,0,0,0,0,0,0.067451677,0.067451677,0.005109976,0.005109976,0.008487003,0.008487003,0.193645856,0.193645856,0.95663186,1,0.983337036,0.136458565,0.00204399,0.00204399,0.018173739,0.018173739,0.004221284,0.004221284,0.055365474,0.055365474,0.136458565,0.058698067,0.058698067,1,0.038613641,0.038613641,0.00048878,0.00048878,0.162630527,0.162630527,0.124594535,0.124594535,0.067451677,0.067451677,0.005109976,0.005109976,0.008487003,0.008487003,1,0.193645856,0.193645856,0.011908465,0.011908465,0.95663186,1,0.983337036,0.080026661,0.080026661,0,0,0.024927794,0.024927794,4.44346E-05,4.44346E-05,0.038613641,0.038613641,0.00048878,0.00048878,0.067451677,0.067451677,0.005109976,0.005109976,1,0.95663186,1,0.983337036,0.080026661,0.080026661,0,0,0.024927794,0.024927794,4.44346E-05,4.44346E-05,0.95663186,1,0.983337036,0.00155521,0.00155521,0.00155521,0.00155521,0.004399022,0.002932682,0.688691402,0.668207065,0.688691402,0.680471006,0.002266163,0.002266163,0,0,0.007465008,0.007465008,0.089980004,0.089980004,4.44346E-05,4.44346E-05,0.680471006,0.006087536,0.006087536,0.013463675,0.013463675,0.524194623,0.524194623,0.000710953,0.000710953,0.041235281,0.041235281,0.524194623,0.524194623,0.668207065,0.041235281
X203338,0,0.034155115,0.034155115,0.994076131,1,1,0,0,0,0,0,0,0,0,0,0.001642261,0.001642261,0.001564058,0.001564058,0.034155115,0.034155115,0,0,0.994076131,1,1,0.023324014,0.001837768,0.001837768,0.008739174,0.008739174,0.000664725,0.000664725,0.016188,0.016188,0.023324014,0,0,0,0.01943342,0.01943342,0.000156406,0.000156406,0,0,0.093687071,0.093687071,0.001642261,0.001642261,0.001564058,0.001564058,0.034155115,0.034155115,1,0,0,0.005044087,0.005044087,0.994076131,1,1,0,0,0,0,0,0,1.95507E-05,1.95507E-05,0.01943342,0.01943342,0.000156406,0.000156406,0.001642261,0.001642261,0.001564058,0.001564058,1,0.994076131,1,1,0,0,0,0,0,0,1.95507E-05,1.95507E-05,0.994076131,1,1,0,0,0,0,0.001524956,0.001524956,0,0.63885902,0.641811179,0.641811179,0,0,0,0,0.029208782,0.029208782,0.069444173,0.069444173,0.000117304,0.000117304,0.641811179,0.023089405,0.023089405,0.007409725,0.007409725,0,0,3.91014E-05,3.91014E-05,0,0,0,0,0.63885902,0
X346698,1,0.000524659,0.000524659,0.965897167,1,0,0,0,0,0,0,0,0,0,0,0.00524659,0.00524659,0,0,0.000524659,0.000524659,0,0,0.965897167,1,0,0.03567681,0.001049318,0.001049318,0.014690451,0.014690451,0.002098636,0.002098636,0.054564533,0.054564533,0.03567681,0,0,1,0.050367261,0.050367261,0.001573977,0.001573977,0,0,0.115949633,0.115949633,0.00524659,0.00524659,0,0,0.000524659,0.000524659,1,0,0,0.002098636,0.002098636,0.965897167,1,0,0,0,0,0,0,0,0,0,0.050367261,0.050367261,0.001573977,0.001573977,0.00524659,0.00524659,0,0,1,0.965897167,1,0,0,0,0,0,0,0,0,0,0.965897167,1,0,0,0,0,0,0.007345226,0.007345226,0.616998951,0.599685205,0.616998951,0,0.000524659,0.000524659,0,0,0.000524659,0.000524659,0.027282267,0.027282267,0.000524659,0.000524659,0,0.003147954,0.003147954,0.034627492,0.034627492,0,0,0,0,0,0,0,0,0.599685205,0
X346695,1,0.000132908,0.000132908,0.944444444,1,0,0,0,0,0,0,0,0,0,0,0.006645401,0.006645401,0.003854333,0.003854333,0.000132908,0.000132908,0,0,0.944444444,1,0,0.055023923,0.00199362,0.00199362,0.024189261,0.024189261,0.002525253,0.002525253,0.032828283,0.032828283,0.055023923,0,0,1,0.035885167,0.035885167,0.00066454,0.00066454,0,0,0.081206805,0.081206805,0.006645401,0.006645401,0.003854333,0.003854333,0.000132908,0.000132908,1,0,0,0.005582137,0.005582137,0.944444444,1,0,0,0,0,0,0,0,0,0,0.035885167,0.035885167,0.00066454,0.00066454,0.006645401,0.006645401,0.003854333,0.003854333,1,0.944444444,1,0,0,0,0,0,0,0,0,0,0.944444444,1,0,0,0,0,0,0.006246677,0.006246677,0.545055821,0.523790537,0.545055821,0,0,0,0,0,0.000265816,0.000265816,0.032163743,0.032163743,0.00066454,0.00066454,0,0.004917597,0.004917597,0.03907496,0.03907496,0,0,0.001727804,0.001727804,0,0,0,0,0.523790537,0
