facilityID,facilityName,measureID,measureName,elementID,elementName
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4060,Diagnosis of acute sinusitis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4070,Prescription of Antibiotics
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4075,Prescription of Antibiotics-Date
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4100,Diagnosis of cystic fibrosis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4115,Diagnosis of immune deficiency
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4130,Diagnosis of chronic sinusitis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4145,Diagnosis of acute Bronchitis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4150,Diagnosis of acute Bronchitis-Date
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4155,Diagnosis of intestinal infection
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4160,Diagnosis of pertussis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4165,Diagnosis of bacterial infection
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4175,Diagnosis of acute pharyngitis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4180,Diagnosis of acute tonsillitis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4185,Diagnosis of infection of the pharynx/larynx/tonsils/adenoids
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4195,Diagnosis of cellulitis/ mastoiditis/ bone infections
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4200,Diagnosis of acute lymphadenitis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4205,Diagnosis of impetigo
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4210,Diagnosis of skin staph infections
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4215,Diagnosis of pneumonia
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4225,Diagnosis of infections of the kidney
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4230,Diagnosis of cystitis/UTI
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4235,Diagnosis of acne
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4250,Diagnosis of malignancy neoplasms
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4255,Diagnosis of chronic bronchitis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4260,Diagnosis of emphysema
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4265,Diagnosis of bronchiectasis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4275,Diagnosis of chronic airway obstruction
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4280,Diagnosis of chronic obstructive asthma
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4285,Diagnosis of pneumoconiosis
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.4302,Encounter PQRS 116
X59229,MultiCare Auburn Medical Center,116,Antibiotic treatment for adults with acute bronchitis: avoidance of inappropriate use,X116.9040,Diagnosis of otitis media
X59229,MultiCare Auburn Medical Center,187,Stroke and Stroke Rehabilitation: Thrombolytic Therapy (tPA),X187.3210,IV tissue plasminogen activator (t-PA) treatment
X59229,MultiCare Auburn Medical Center,187,Stroke and Stroke Rehabilitation: Thrombolytic Therapy (tPA),X187.3215,Date and time of IV tissue plasminogen activator (t-PA) administration
X59229,MultiCare Auburn Medical Center,187,Stroke and Stroke Rehabilitation: Thrombolytic Therapy (tPA),X187.5025,Clinical trial for stroke
X59229,MultiCare Auburn Medical Center,187,Stroke and Stroke Rehabilitation: Thrombolytic Therapy (tPA),X187.5030,Clinical trial for stroke_Date & time
X59229,MultiCare Auburn Medical Center,187,Stroke and Stroke Rehabilitation: Thrombolytic Therapy (tPA),X187.5110,Patient arrival to Emergency Department (ED) for Ischemic strk
X59229,MultiCare Auburn Medical Center,187,Stroke and Stroke Rehabilitation: Thrombolytic Therapy (tPA),X187.5115,Patient arrival to Emergency Department (ED) for Ischemic strk_Date and timing
X59229,MultiCare Auburn Medical Center,187,Stroke and Stroke Rehabilitation: Thrombolytic Therapy (tPA),X187.9165,Diagnosis of acute ischemic stroke
